"","X5.14.years","X15.24.years","X25.34.years","X35.54.years","X55.74.years","X75..years"
"1994",0,13,18,26,24,28
"1995",1,13,18,25,24,26
"1996",1,12,18,23,22,24
"1997",1,13,17,23,22,23
"1998",0,12,17,21,22,23
"1999",0,14,17,21,21,20
"2000",0,13,16,21,19,21
"2001",0,11,14,22,20,23
"2002",0,12,14,19,20,21
"2003",1,11,14,19,18,19
"2004",1,13,13,19,19,19
"2005",1,10,14,18,19,21
"2006",0,12,13,18,19,19
"2007",0,10,13,18,17,18
"2008",0,11,14,18,18,17
"2009",0,11,14,19,19,18
"2010",0,11,14,16,18,17
"2011",1,11,14,17,17,15
"2012",0,10,12,17,17,17
"2013",0,11,14,16,17,18
"2014",0,9,14,16,15,18
"2015",1,8,13,15,16,17
